No source,,ALCT,,,,,,,,,,,,CLCT,,,,,,,,,,,,LCT,,,,,,,,,,
Voltage (kV),,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
0,,0,9,0,0.2,0.4,0,0.1,0,0,0,0,,0,18.9,0.5,1.4,0.6,0.4,0.1,0,0,0,0,,0,2,0,0,0.3,0,0.1,0,0,0,0
2.4,,0.3,9,0.2,0.2,0,0.1,0.1,0,0,0,0,,0,41.2,2.9,2.2,1.2,0.2,0.1,0,0,0,0,,0,2.7,0,0,0,0.1,0.1,0,0,0,0
2.5,,1,6.4,0.4,0.4,0,0,0,0,0,0,0,,0.1,16.1,3.6,0.6,0.3,0,0,0,0,0,0,,0.1,0.8,0.1,0,0,0,0,0,0,0,0
2.6,,2.1,10.8,0,0.1,0,0.1,0.1,0.1,0,0,0,,0.2,47,2.9,0.2,0.4,0.7,0,0.1,0,0,0,,1,2.9,0,0,0,0.1,0,0.1,0,0,0
2.7,,2.8,7.2,0.1,0.2,0.5,0,0.3,0.3,0,0,0,,0.3,10.1,3.3,1.6,1.5,0.5,0.4,0.2,0,0,0,,0.1,1.8,0.1,0.1,0.3,0,0.3,0.2,0,0,0
2.8,,4.1,10.8,1.4,1.4,1.1,1.1,0.6,3.5,0,0,0,,1.1,32.9,3.5,1,1.5,2.1,0.3,26.1,0,0,0,,0.7,3.7,0.7,0.5,0.4,0.7,0.2,1.8,0,0,0
2.85,,4.6,8.2,1.2,3.1,3.1,1.5,1.1,0.9,0,0,0,,1.5,12.6,3.6,9.1,3,1.7,0.6,1,0,0,0,,1.2,2.6,1.1,0.8,1.8,1.2,0.4,0.7,0,0,0
2.9,,6.5,14.2,2,4.8,3.8,1.7,1.7,2.4,0,0,0,,4.1,30.6,5.3,9.4,3,2.1,1.4,1.6,0,0,0,,3.5,4.3,1.4,1.8,2.3,1.4,0.7,1.3,0,0,0
2.95,,8.5,14.5,2.8,7.8,5.1,3.3,2.4,3.6,0,0,0,,4.6,24.3,5.1,13.3,3.6,2.6,1.5,2.3,0,0,0,,3.7,5,1.7,2.4,2.2,2.2,0.9,2,0,0,0
3,,9.5,18.2,2.8,14,6.5,2.3,4.9,7.1,0,0,0,,7.1,19.8,4.6,8.6,6.7,2.4,3.2,3.2,0,0,0,,5.5,7,2.3,4.3,3.5,1.7,2.5,2.6,0,0,0
3.05,,13.7,27.6,4.7,17,9.9,4.5,6.2,10.3,0,0,0,,7.7,35.9,7.1,5.2,7.1,5.4,4.2,6.6,0,0,0,,6.7,11.4,3.1,4.8,5.9,3.3,3.9,5.3,0,0,0
3.1,,19.2,31.3,9,23.6,14.7,6.5,8.4,13.3,0,0,0,,14.5,24.7,9.1,8.8,10.4,6.2,5,7.1,0,0,0,,12.9,11,6.5,7,7.2,5,4.6,6.6,0,0,0
3.15,,17.6,37.6,12.3,30.6,26.3,9.2,9.7,16.8,0,0,0,,11.1,28,8.6,12.8,18.6,8,6.2,7.9,0,0,0,,10.5,14.1,7.4,11.2,11.7,6.9,6,7.8,0,0,0
3.2,,19.2,50.2,16.5,36.7,19,13.1,15.1,18.1,0,0,0,,12.6,55.3,12,18.6,14.4,10.3,11.8,8.9,0,0,0,,11.3,19.8,8.9,14,9.3,8.8,7.7,8.3,0,0,0
3.25,,23.1,66.3,27,44.9,20.6,15.8,21,23.9,0,0,0,,14.4,44.4,18.8,25.6,17.2,13.3,13.7,14.7,0,0,0,,13.6,25.9,13.6,18.5,11.3,11,9.6,13.6,0,0,0
3.3,,25.2,72.6,38.3,51.2,33.6,18.5,32.2,25.4,0,0,0,,17.5,61.8,21,28.1,23.6,13.3,38.2,14.4,0,0,0,,16,26.2,18.3,20.4,18.8,11.7,16.2,13.4,0,0,0
3.35,,28.4,71.1,44.9,65.4,55.3,27.7,19,35.4,0,0,0,,19.9,53.2,23.4,34.3,49.5,19.2,12.2,19.8,0,0,0,,19.1,30.7,19.4,26.8,28.9,16.8,11.1,19.1,0,0,0
3.4,,28.5,91.2,50.6,72.8,43.1,32.9,27.2,35.1,0,0,0,,19.3,58.3,27.7,40.4,42.7,19,22.6,19.3,0,0,0,,17.4,37.3,24.7,30.5,21.8,17.3,16.8,17.6,0,0,0
3.45,,36.1,103.5,77.8,75.6,50.3,46.2,32.2,41.5,0,0,0,,23.6,80.3,39.4,37.4,29.2,23,19.6,23,0,0,0,,21,45.1,34.5,35.5,25.8,21.7,18.1,21.9,0,0,0
3.5,,44.3,103.2,96.7,73.1,66.7,53,42.4,50.5,0,0,0,,27.3,68.7,47.3,39.6,30.8,27.2,22.2,28.8,0,0,0,,24.2,43.9,44.3,37.8,29.2,26.7,20.8,27.6,0,0,0
3.55,,58.6,144.1,114.7,104,81.9,65,50.7,55,0,0,0,,33.2,116.1,59.7,48.8,33.3,33.5,24.5,31.2,0,0,0,,31.6,65.7,54.7,45.9,32.6,31.1,23.8,30.1,0,0,0
3.6,,63.7,174.3,149.3,122.4,93.3,77.6,51.5,57.4,0,0,0,,37.6,125.2,79.8,59,40.6,40.7,30.2,33.1,0,0,0,,35,86.9,70.5,54.9,39.5,39.4,26.7,31.6,0,0,0
3.65,,77.4,234.2,191.3,146.9,126.3,106.6,67.9,67,0,0,0,,46.4,175,98.8,71.9,51.9,52.1,40.8,37.9,0,0,0,,43.1,123.4,90.2,68.8,49.9,49.5,36.4,36.1,0,0,0
3.7,,89.7,278.6,228.6,170.9,150,162,84.4,77.9,0,0,0,,56.4,210.5,125.8,86.8,68.8,74,49.2,42.2,0,0,0,,51.7,157.1,110.4,75.3,62.8,67.2,43.7,39.1,0,0,0
3.75,,103.4,339.6,330.8,235.6,214.5,209.6,118.9,92.5,0,0,0,,71.9,251.9,166.3,118.5,100.7,114.3,66.9,52,0,0,0,,64,199.8,148.2,99.9,87.2,101.3,60,46.1,0,0,0
